employer_name,rows,donors,occupations,donor_places,resolved_hq,address_source
PIVOTSP,1,1,RECRUITER,"GREAT NECK, NY",,
PVH,1,1,HEAD OF INVESTOR RELATIONS,"NEW YORK, NY","New York, NY",ai
PUBLIX,1,1,RETIRED,"BOYNTON BEACH, FL","Lakeland, FL",ai
PSS,1,1,CEO,"ANNAPOLIS, MD",,
PROHEALTH,1,1,RETIRED,"OLD SAYBROOK, CT","Morris Plains, NJ",ai
DARTMOUTH,1,1,PROFESSOR,"NORWICH, VT","Hanover, NH",ai
DANBAR,1,1,OWNER,"NEW YORK, NY","New York, NY",ai
DOG,1,1,SOFTWARE ENGINEER,"NEW YORK, NY",,
DOCMJ,1,1,MEDICAL CANNABIS PHYSICIAN,"CLEARWATER, FL",,
MCK,1,1,CONSULTANT,"NEW YORK, NY","New York, NY",ai
MCH,1,1,PARTNER,"NEW YORK, NY",,
MCDONALDS,1,1,IT ANALYST,"LANSING, IL","Chicago, IL",ai
MCCSC,1,1,SUBSTITUTE TEACHER,"BLOOMINGTON, IN",,
MCCC,1,1,PROFESSOR,"BALA CYNWYD, PA",,
MBHB,1,1,LAWYER,"GLENCOE, IL","San Francisco, CA",ai
HAVAS,1,1,LAWYER,"WHITE PLAINS, NY","New York, NY",ai
HATCH,1,1,VICE PRESIDENT,"NEW YORK, NY","Burlington, MA",ai
HMFP,1,1,PHYSICIAN,"NEWTON CENTER, MA",,
HIRVEST,1,1,REAL ESTATE,"DALLAS, TX",,
MAGNET,1,1,INVESTOR,"MIAMI, FL","New York, NY",ai
MACYS,1,1,ANALYST,"TENAFLY, NJ","Cincinnati, OH",ai
DIVOTS,1,1,SALES,"DUNWOODY, GA","Lincoln, NE",ai
DHR,1,1,EXECUTIVE SEARCH,"LOS ANGELES, CA","Long Beach, CA",ai
DFAC,1,1,CPA,"BEVERLY HILLS, CA",,
PPLA,1,1,CONSULTANT,"LOS ANGELES, CA",,
CTCA,1,1,PHYSICIAN,"PARADISE VALLEY, AZ",,
RHH,1,1,IMPORTERS,"PALM BEACH GARDENS, FL",,
RET,1,1,GERIATRIC SOCIAL WORKER MSW,"HOUSTON, TX",,
RESIDENT,1,1,CEO,"ENCINO, CA",,
RENTIERT,1,1,BOOKBINDER,"EL CERRITO, CA",,
REMEDY,1,1,DOCTOR,"GRAND RAPIDS, MI",,
RCG,1,1,CEO,"GREENWICH, CT",,
CSMG,1,1,MEDICAL DOCTOR,"LOS ANGELES, CA",,
CSI,1,1,SALES,"PALO ALTO, CA",,
DECIPHER,1,1,CEO,"SAINT LOUIS, MO",,
DDG,1,1,PRESIDENT,"PORTLAND, OR","New York, NY",ai
RCBM,1,1,PHYSICIAN,"BLOOMFIELD HILLS, MI",,
RBC,1,1,BANKING,"NEW YORK, NY","New York, NY",manual
DNI,1,1,SALES,"REISTERSTOWN, MD",,
DLLP,1,1,ATTORNEY,"SCARSDALE, NY",,
LWHA,1,1,HOTELS,"TEANECK, NJ","Seattle, WA",ai
IBJ,1,1,RETIRED,"CARMEL, IN","Indianapolis, IN",ai
HVDDSO,1,1,MEDICAL DOCTOR,"RYE, NY",,
HSS,1,1,KNEE SURGEON,"NEW YORK, NY","Boston, MA",ai
HRHMG,1,1,PHYSICIAN,"MUKILTEO, WA",,
HRA-DSS,1,1,SOCIAL SERVICES ADMINISTRATION,"BRONX, NY",,
M13,1,1,CO-FOUNDER,"SANTA MONICA, CA","New York, NY",ai
IFG,1,1,MARKETING SPECIALIST,"CARMEL, IN",,
ROBELL,1,1,PRESIDENT,"NEW YORK, NY",,
RNC,1,1,FUNDRAISER,"WASHINGTON, DC","Washington, DC",ai
RJCC,1,1,MANAGER,"LOS ANGELES, CA",,
RISKSPAN,1,1,FINTECH,"TEANECK, NJ","Baltimore, MD",ai
RIPPLING,1,1,BIZOPS,"SAN FRANCISCO, CA","San Francisco, CA",ai
CONVERMAT,1,1,DIRECTOR,"BEVERLY HILLS, CA",,
CONFETT,1,1,RETIRED,"DALLAS, TX",,
DAMSKI,1,1,FINANCIAL ADVISOR,"CLIFTON, NJ",,
CVP,1,1,REAL ESTATE,"BALTIMORE, MD",,
SAFETECH,1,1,ENGINEER,"SPRING, TX",,
S-DOCS,1,1,TECHNOLOGY,"NEW YORK, NY",,
SEDGWICK,1,1,RETIRED,"AVENTURA, FL","New York, NY",
SDSU,1,1,RETIRED,"SACRAMENTO, CA","San Diego, CA",ai
RFG,1,1,INSURANCE AGENT,"EVANSTON, IL",,
RFA,1,1,MANAGING DIRECTOR,"CALABASAS, CA",,
RUSH,1,1,ATTORNEY,"SAN ANTONIO, TX","Chicago, IL",ai
RUDDELL,1,1,REAL ESTATE,"BIRMINGHAM, AL",,
RSI,1,1,RETIRED,"LAKEWOOD, NJ","Rolling Meadows, IL",
RSF,1,1,CEO,"SHERMAN OAKS, CA",,
RPS,1,1,RETIRED,"SCOTTSDALE, AZ","Chicago, IL",
CLASSIQ,1,1,BUSINESS DEVELOPMENT,"LAGRANGEVILLE, NY",,
CLARKSONS,1,1,INVESTMENT BANKER,"POMPANO BEACH, FL","New York, NY",ai
ROCHE,1,1,ATTORNEY,"BERKELEY, CA","South San Francisco, CA",ai
HIDROCK,1,1,INVESTMENTS,"NEW YORK, NY","Irvine, CA",ai
HHCMG,1,1,PHYSICIAN,"WEST HARTFORD, CT","Kansas City, MO",ai
CHOP,1,1,PHYISCIAN,"PHILADELPHIA, PA","Philadelphia, PA",ai
CHOF,1,1,PHYSICIAN,"NEWTON CENTER, MA",,
COMPANY,1,1,OTHER,"PLYMOUTH, MN",,
COLUMBUS,1,1,CEO,"SAN CARLOS, CA",,
COGNIZANT,1,1,SOLUTION OWNER,"CENTENNIAL, CO","Teaneck, NJ",ai
COFESTCO,1,1,CONSULTANT,"COLUMBIA, MD",,
CMS,1,1,LAWYER,"NORTH MIAMI BEACH, FL","Baltimore, MD",ai
CLTC,1,1,RETIRED,"SAN RAFAEL, CA",,
CRC,1,1,REAL ESTATE,"CALABASAS, CA",,
CRAFTY,1,1,SALES,"NEW YORK, NY",,
CPF,1,1,TEACHER,"WYNNEWOOD, PA",,
ROCHESTER,1,1,,"ROCHESTER, NY",,
SBLF,1,1,ATTORNEY,"FARMINGTON HILLS, MI",,
SBH,1,1,SOCIAL WORKER,"BROOKLYN, NY",,
SBA,1,1,STATE COORDINATOR,"MOUNT HOPE, WV","Washington, DC",ai
SALTESH,1,1,RETIRED,"STAMFORD, CT",,
LIBRA,1,1,CEO,"ARMONK, NY",,
LIBERTY,1,1,WHOLESALE,"BROOKLYN, NY",,
LHOIST,1,1,ENGINEER,"ATLANTA, GA","Atlanta, GA",ai
LUP,1,1,MARKETING,"CHICAGO, IL",,
LUMENT,1,1,REAL ESTATE,"NEW YORK, NY","Washington, DC",ai
LUCID,1,1,SOFTWARE ENGINEER,"FREMONT, CA","Newark, CA",ai
LSG,1,1,RETIRED,"MONROE TOWNSHIP, NJ",,
MARSHALLS,1,1,BACKROOM,"CLIFTON PARK, NY","Framingham, MA",ai
MANIV,1,1,EXECUTIVE,"WESTWOOD, NJ","Los Angeles, CA",ai
LMG,1,1,ATTORNEY,"WASHINGTON, DC",,
SDA,1,1,DENTIST,"COLUMBIA, SC",,
SCS,1,1,COMPUTER PROGRAMMER,"BETHLEHEM, PA",,
SCRRA,1,1,RETIRED,"SACRAMENTO, CA","Los Angeles, CA",ai
SCP,1,1,PSYCHIATRIST,"PROVIDENCE, RI",,
SCIENTIST,1,1,RETIRED,"SAN DIEGO, CA",,
CHROMADEX,1,1,CEO,"LOS ANGELES, CA","Las Vegas, NV",ai
CIR,1,1,DIGITAL ORGANIZER,"AUSTIN, TX",,
CHSLI,1,1,PHYSICIAN,"GREAT NECK, NY","Hicksville, NY",ai
SCHONFELD,1,1,PORTFOLIO MANAGER,"PORT WASHINGTON, NY","New York, NY",ai
SCHECHTER,1,1,CEO,"BLOOMFIELD HILLS, MI",,
SGUS,1,1,WATCHMAKER,"SEATTLE, WA",,
SFHI,1,1,MEDICAL DOCTOR,"NORTH MIAMI BEACH, FL","Costa Mesa, CA",ai
SEYFARTH,1,1,ATTORNEY,"CHICAGO, IL","Chicago, IL",ai
SETNA,1,1,CEO,"GLENCOE, IL",,
SEPF,1,1,ATTORNEY,"BOCA RATON, FL",,
SEMRUSH,1,1,SALES,"BOCA RATON, FL","Boston, MA",ai
SHVI,1,1,DOCTOR,"CHARLOTTE, NC",,
SHUSHANA,1,1,REAL ESTATE INVESTOR AND DEVELOPER,"NEW YORK, NY",,
SHOWPLACE,1,1,MANAGER,"FLUSHING, NY",,
SHOWD.ME,1,1,SOFTWARE DEVELOPER,"FAR ROCKAWAY, NY",,
SDG&E,1,1,BUSINESS MANAGER,"SAN DIEGO, CA","San Diego, CA",ai
SDG,1,1,PHYSICIAN,"CEDARHURST, NY",,
HPS,1,1,ACCOUNT MANAGER,"CHERRY HILL, NJ",,
HPR,1,1,APPLICATION ENGINEER,"BRIGHTON, MA",,
IMD,1,1,CHAIRMAN,"BEVERLY HILLS, CA",,
IMCD,1,1,RETIRED,"IRVINE, CA","Lake Success, NY",ai
IKC,1,1,SALES,"CARMEL, IN",,
KMP,1,1,FAB,"PEPPER PIKE, OH",,
KLNF,1,1,LAWYER,"POUND RIDGE, NY",,
SHEPPARD,1,1,ATTORNEY,"LOS ANGELES, CA",,
SHAW,1,1,CONTRACTOR,"BATON ROUGE, LA","Dallas, TX",ai
CFC,1,1,PHYSICIAN,"CORONA, CA",,
CEDARS,1,1,PHYSICIAN,"LOS ANGELES, CA",,
CJSSF,1,1,DIRECTOR,"SAN FRANCISCO, CA",,
CJFS,1,1,CARE MANAGER,"MOUNTAIN BROOK, AL","Massillon, OH",ai
CITYPAC,1,1,POLITICAL ACTION COMMITTEE,"HIGHLAND PARK, IL",,
CITIZENS,1,1,COMMODITY SOLUTIONS,"HOUSTON, TX","Providence, RI",ai
CISCO,1,1,RETIRED,"LOS ALTOS, CA","San Jose, CA",ai
SHAPCO,1,1,CO CHAIRMAN OF THE BOARD,"SHERMAN OAKS, CA","Tucson, AZ",ai
SHALHEVET,1,1,TEACHER,"LOS ANGELES, CA","Van Nuys, CA",ai
SH&A,1,1,MERGERS & ACQUISITIONS,"LOS ANGELES, CA",,
SKYLIGHT,1,1,MANAGEMENT,"MIAMI BEACH, FL","Wilmington, DE",ai
SKM,1,1,ATTORNEY,"BROOKLINE, MA","San Diego, CA",ai
SKDK,1,1,ADVERTING,"WASHINGTON, DC","Washington, DC",ai
SKAC,1,1,CPA,"LOS ANGELES, CA",,
SIRM,1,1,PHYSICIAN,"BLOOMFIELD HILLS, MI",,
SIMPLIGOV,1,1,EXECUTIVE CHAIRMAN,"MILL VALLEY, CA","Oakland, CA",ai
SIFMA,1,1,CFO,"NEW ROCHELLE, NY","New York, NY",ai
SHHC,1,1,REGISTERED NURSE,"SALEM, MA",,
SHERIDAN,1,1,RETIRED,"GOLDEN BEACH, FL","New York, NY",ai
LIPPY,1,1,MEDICAL DOCTOR,"SHAKER HEIGHTS, OH",,
LINKSYS,1,1,TECHNOLOGY,"SAN JOSE, CA","Irvine, CA",ai
LINDEN,1,1,INVESTOR,"CHICAGO, IL","Chicago, IL",
LIFETOWN,1,1,EXECUTIVE DIRECTOR,"NEW ALBANY, OH",,
SSLMI,1,1,ATTORNEY,"WASHINGTON, DC",,
SS&C,1,1,SOFTWARE ENGINEER,"NEWTON, MA","Windsor, CT",ai
CAM,1,1,,"WEST HOLLYWOOD, CA",,
CALTRANS,1,1,RETIRED,"WOODLAND HILLS, CA","SACRAMENTO, CA",ai
CCTL,1,1,HOMEMAKER,"ARROYO GRANDE, CA",,
SNEC,1,1,RETIRED,"WEST HARTFORD, CT",,
SMF,1,1,VIDEO,"OCEAN, NJ",,
SLHS,1,1,DOCTOR,"OVERLAND PARK, KS",,
CCD,1,1,PHYSICIAN,"DENVER, CO",,
CCAC,1,1,TEACHER,"PITTSBURGH, PA",,
CCA,1,1,CONSULTANT,"SAN RAFAEL, CA",,
CHERRE,1,1,DATA SCIENTIST,"NEW YORK, NY","New York, NY",ai
CHERNOMOR,1,1,ANALYST,"NEWTON, MA",,
CHAPMAN,1,1,ATTORNEY,"WEST HEMPSTEAD, NY",,
CGI,1,1,NETWORK ENGINEER,"PHOENIX, AZ","New York, NY",ai
CFCPAPC,1,1,CPA,"SAN ANTONIO, TX",,
LEC,1,1,TEACHER,"HOLLYWOOD, FL",,
LDA,1,1,OWNER,"LAS VEGAS, NV",,
LAZARD,1,1,BANKER,"NEW YORK, NY","New York, NY",ai
LASS,1,1,RETIRED,"BATON ROUGE, LA",,
LAPL,1,1,CYBERNAUT,"LOS ANGELES, CA","Los Angeles, CA",ai
LANSDALE,1,1,PRESIDENT,"PHOENIX, AZ",,
LANDMARK,1,1,REGIONAL MANAGER,"HILLSBOROUGH, NJ",,
LANDLORD,1,1,SELF-EMPLOYED,"SAN RAFAEL, CA",,
LAJH,1,1,PHYSICIAN,"ENCINO, CA",,
KSOSN,1,1,PHYSICIAN,"LAS VEGAS, NV",,
KSDS,1,1,MUSIC DIRECTOR,"BALTIMORE, MD",,
SLATEWELL,1,1,FOUNDER,"BROOKLYN, NY",,
STARFIELD,1,1,PHYSICIAN,"STUDIO CITY, CA",,
STAPLES,1,1,TECHNICAL SUPPORT,"HAVANA, FL","Framingham, MA",ai
STAMFORD,1,1,TEACHER,"NORWALK, CT",,
STAGWELL,1,1,MARKETING,"WASHINGTON, DC","New York, NY",ai
SULTAN,1,1,FINANCE,"NEW YORK, NY",,
SUBWAY,1,1,OWNER,"NEW ALBANY, OH","Milford, CT",ai
CCF,1,1,PHYSICIAN,"BEACHWOOD, OH",,
CCEC,1,1,PHYSICIAN,"CHADDS FORD, PA",,
SPOTON,1,1,CHIEF INNOVATION OFFICER,"MIAMI BEACH, FL",,
STRIIM,1,1,BUSINESS,"NEW YORK, NY","Los Angeles, CA",ai
STRECO,1,1,PRESIDENT,"VIRGINIA BEACH, VA",,
STREAM,1,1,COMMERCIAL REAL ESTATE,"SURFSIDE, FL","Bala Cynwyd, PA",ai
STENSUL,1,1,CUSTOMER SUCCESS,"SCARSDALE, NY","Brooklyn, NY",ai
STARTUP,1,1,FOUNDER & CEO,"NEW YORK, NY",,
SYNCO,1,1,CEO,"STAMFORD, CT",,
SWRI,1,1,SYSTEM ADMIN,"SAN ANTONIO, TX","San Antonio, TX",ai
SWM,1,1,LAWYER,"MIAMI BEACH, FL",,
SLB,1,1,DATA ANALYST,"HOUSTON, TX","Houston, TX",ai
LEXUS,1,1,OWNER,"ALLENTOWN, PA","Torrance, CA",ai
LENDBUZZ,1,1,FINANCE,"SOMERVILLE, MA","Arlington, VA",ai
BMA,1,1,COUNSEL,"MIAMI, FL",,
CADRE,1,1,SCIENTIST,"SAINT LOUIS, MO","New York, NY",ai
BUNK,1,1,CEO,"NEW YORK, NY","New York, NY",ai
BTS,1,1,INVESTOR,"ENCINO, CA","Boston, MA",ai
BROOKS,1,1,EXECUTIVE,"DENVER, CO","Boise, ID",ai
SWIB,1,1,SR PM,"SKOKIE, IL","Madison, WI",ai
SWC,1,1,DIRECTOR,"SAN ANTONIO, TX",,
SWA,1,1,PILOT,"PALM HARBOR, FL","Des Moines, IA",ai
SVG,1,1,BUSINESS,"MIAMI BEACH, FL",,
BRINSHORE,1,1,REAL ESTATE,"HIGHLAND PARK, IL",,
BRI,1,1,PHYSICIAN,"MERCER ISLAND, WA",,
CASEYS,1,1,CASHIER,"BUENA VISTA, TN","Ankeny, IA",ai
CAPSTONE,1,1,CONSULTANT,"WASHINGTON, DC","Boston, MA",ai
CAP,1,1,PRESIDENT,"ATLANTA, GA",,
CANUS,1,1,RETIRED,"NEW YORK, NY",,
SUMMA,1,1,RETIRED,"BEXLEY, OH","Akron, OH",ai
KPR,1,1,REAL ESTATE,"NEW YORK, NY",,
ICC,1,1,MANAGEMENT,"SAN FRANCISCO, CA",,
IBYND,1,1,CEO,"ENGLEWOOD, NJ",,
IPRG,1,1,INVESTMENT SALES,"NEW YORK, NY",,
IP.COM,1,1,CO-FOUNDER & MANAGING MEMBER,"PITTSFORD, NY","Wilmington, DE",ai
INTREPID,1,1,BANKER,"LOS ANGELES, CA","New York, NY",ai
INSUR,1,1,RETIRED,"WARREN, NJ",,
INSTYMEDS,1,1,RETIRED,"MINNETONKA, MN","New York, NY",ai
J&J,1,1,SCIENTIST,"PROVIDENCE, RI","New Brunswick, NJ",ai
ITV,1,1,ENTERTAINMENT,"LOS ANGELES, CA",,
TCS,1,1,MANAGEMENT CONSULTANT,"NORTH ANDOVER, MA",,
TCG,1,1,COMMERCIAL REAL ESTATE,"BROOKLYN, NY","New York, NY",ai
TBG,1,1,OPERATIONAL STRATEGY,"CHICAGO, IL",,
TBFR,1,1,OWNER,"HOUSTON, TX",,
TAMID,1,1,CHIEF DEVELOPMENT OFFICER,"BOSTON, MA",,
TAMGE,1,1,RETIRED,"CUMBERLAND FORESIDE, ME",,
TMCC,1,1,RETIRED,"RENO, NV","Florham Park, NJ",ai
TWC,1,1,REAL ESTATE,"LOS ANGELES, CA","Wilmington, DE",ai
TACTIX,1,1,RE BROKER,"PHILADELPHIA, PA",,
SYNOPSYS,1,1,ENGINEER,"BOCA RATON, FL","Mountain View, CA",ai
TKE,1,1,SALES,"TAMPA, FL","Tampa, FL",ai
THCF,1,1,CHIROPRACTOR,"DAVIE, FL",,
THATCH,1,1,SALES,"WOODLAND HILLS, CA",,
TFPS,1,1,MEDICAL DOCTOR,"BOCA RATON, FL",,
TENS,1,1,TEACHER,"NEW YORK, NY",,
TRILLER,1,1,ENTREPRENEUR,"WOODLAND HILLS, CA","Beverly Hills, CA",ai
TRIGRAM,1,1,CONSULTANT,"SOUTH MIAMI, FL","Boston, MA",ai
TRF,1,1,RETIRED,"LANTANA, FL",,
TRENDERA,1,1,RESEARCH,"BEVERLY HILLS, CA","Memphis, TN",ai
TECHNOCON,1,1,MANUFACTURING,"SUNNY ISLES BEACH, FL",,
TECH,1,1,PROGRAM MANAGER,"NEW YORK, NY",,
KROGER,1,1,DATA QUALITY SPECIALIST,"CINCINNATI, OH","Cincinnati, OH",ai
BLUETENT,1,1,SALES,"MONKTON, MD","Washington, DC",ai
BLG,1,1,LAWYERING,"LOS ANGELES, CA",,
BLANK,1,1,FACULTY,"WOODMERE, NY",,
BILH,1,1,PHYSICIAN,"NEWTON CENTER, MA","Boston, MA",ai
BIGHAWK,1,1,MARKETING,"NEW YORK, NY",,
TREDWAY,1,1,AFFORDABLE HOUSING RE DEVELOPER,"LARCHMONT, NY",,
TPMB,1,1,LAWYER,"CHICAGO, IL",,
TOSCO,1,1,RETIRED,"TUCSON, AZ","Santa Monica, CA",ai
BETTERUP,1,1,SALES,"AUSTIN, TX","San Francisco, CA",ai
BREX,1,1,AMBASSADOR,"MIAMI, FL","Wilmington, DE",ai
BRAVEN,1,1,CEO,"LONG BEACH, CA","Boston, MA",ai
BRAMAN,1,1,CAR SALES,"PALM BEACH GARDENS, FL",,
BPI,1,1,ARCHITECT,"NEW YORK, NY",,
BPA,1,1,PHYSICIAN,"MELBOURNE BEACH, FL",,
BOSSWORKS,1,1,GROWTH,"PHILADELPHIA, PA",,
TORRECOM,1,1,INFRASTRUCTURE DEVELOPMENT AND OPERATI,"NEW YORK, NY","New York, NY",ai
TTEC,1,1,CEO,"GREENWOOD VILLAGE, CO","Brisbane, CA",ai
JVDEALS,1,1,MANAGER,"TENAFLY, NJ",,
JUF,1,1,RABBI,"CHICAGO, IL",,
KINGSTONE,1,1,EXECUTIVE,"HEWLETT, NY","Albany, NY",ai
KICORP,1,1,CHAIRMAN,"NEW YORK, NY","Kotzebue, AK",manual
KGPM,1,1,MANAGER,"SACRAMENTO, CA",,
KENMAR,1,1,FINANCE,"BRONX, NY","Beverly, MA",ai
KCU,1,1,PHYSICIAN,"KANSAS CITY, MO","Kinston, NC",ai
KTND,1,1,PHYSICIAN,"WILMINGTON, DE",,
JHW,1,1,INVESTOR,"GLADWYNE, PA",,
JHU,1,1,,"ARLINGTON, VA","Baltimore, MD",ai
TSS,1,1,ATTORNEY,"ROSLYN HEIGHTS, NY",,
TSPMG,1,1,MEDICAL DOCTOR,"ATLANTA, GA","Washington, DC",ai
TSMC,1,1,GOVERNMENT RELATIONS,"PHOENIX, AZ","San Jose, CA",ai
BBO,1,1,ATTORNEY,"AUBURNDALE, MA",,
BBG,1,1,EXECUTIVE,"LA JOLLA, CA",,
BAYNET,1,1,RETIRED,"LOS ALTOS, CA",,
BAYMARK,1,1,DOCTOR,"NEEDHAM, MA",,
BARONS,1,1,JEWELER,"DUBLIN, CA",,
BANFIELD,1,1,VETERINARIAN,"TAMPA, FL","Sacramento, CA",ai
TSI,1,1,PHYSICIAN,"ENCINO, CA","Rosemont, IL",ai
TSCG,1,1,REAL ESTATE,"ATLANTA, GA","Chicago, IL",ai
UNPPG,1,1,MANAGER,"MONSEY, NY",,
UMKC,1,1,PROFESSOR,"KANSAS CITY, MO","Kansas City, MO",ai
UDFD,1,1,DENTIST,"HORSHAM, PA",,
BACC,1,1,ADMINISTRATOR,"GREAT NECK, NY",,
BAC,1,1,,"SHORT HILLS, NJ","Charlotte, NC",ai
AXS,1,1,INVESTMENTS,"BEVERLY HILLS, CA","New York, NY",ai
BERDON,1,1,RETIRED,"SCARSDALE, NY","New York, NY",
BECKER,1,1,ATTORNEY,"TAMPA, FL",,
BCMONE,1,1,SALES,"PALM BAY, FL","Woodbury, NY",ai
TUTOR,1,1,PAYROLL ADMIN,"SAN FRANCISCO, CA",,
JHCN,1,1,RABBI,"WEST BLOOMFIELD, MI",,
JGB,1,1,INVESTOR,"WESTPORT, CT",,
KATTAN,1,1,LAWYER,"SCARSDALE, NY",,
KARMILY,1,1,SALES,"WOODMERE, NY",,
K&R,1,1,MANAGER,"STAMFORD, CT",,
INSPEECH,1,1,RETIRED,"ENCINO, CA","Brisbane, CA",
JAXXSNAX,1,1,CHIEF MARKETING OFFICER,"GREAT NECK, NY",,
JAMESTOWN,1,1,REAL ESTATE INVESTOR,"ATLANTA, GA","Atlanta, GA",manual
J2R,1,1,BUSINESS,"PEPPER PIKE, OH",,
JBS,1,1,FUND RAISING,"STAMFORD, CT","Greeley, CO",ai
UCOMS,1,1,MEDICAL DOCTOR,"NEW YORK, NY",,
VCU,1,1,ADMINISTRATOR,"CLOSTER, NJ","Richmond, VA",ai
USGOV,1,1,ADVISOR,"WASHINGTON, DC","Washington, DC",ai
USF,1,1,PHYSICIAN,"TAMPA, FL","Tampa, FL",ai
ARMSTRONG,1,1,SALES,"BATON ROUGE, LA","Lancaster, PA",ai
ARK,1,1,HEALTHCARE,"WOODMERE, NY","Portland, ME",ai
ASK,1,1,ATTORNEY,"SCARSDALE, NY","Melville, NY",ai
ARTIST,1,1,TEACHER,"KATONAH, NY",,
WBS,1,1,VICE PRESIDENT,"DAVIE, FL",,
BAML,1,1,WMA,"SOUTHAMPTON, NY","New York, NY",ai
UPFLEX,1,1,HEAD OF PARTNERSHIPS,"MIAMI BEACH, FL","Culver City, CA",ai
WARDHAW,1,1,LEGAL ADMIN,"WOODSIDE, NY",,
VTHS,1,1,TEACHER,"VALLEY VILLAGE, CA",,
VMY,1,1,REAL ESTATE,"PLANO, TX",,
VLC,1,1,ADMINISTRATOR,"SCARSDALE, NY",,
VIRGIN,1,1,BUSINESS AFFAIRS,"ENCINO, CA","San Francisco, CA",ai
VILLAGEMD,1,1,PHYSICIAN,"HOUSTON, TX","Greenwood Village, CO",ai
VETTED,1,1,SELF-EMPLOYED,"BAY HARBOR ISLANDS, FL",,
VERTEXT,1,1,RETIRED,"TEANECK, NJ",,
WESTCAP,1,1,FINANCE,"KATONAH, NY",,
WESTAT,1,1,VP TECHNOLOGY,"SILVER SPRING, MD","Rockville, MD",ai
BCG,1,1,CONSULTANT,"NEW ROCHELLE, NY","Boston, MA",ai
ANK,1,1,FINANCE,"BEDFORD, NY",,
WPI,1,1,EXECUTIVE,"BROOKLYN, NY","Worcester, MA",ai
WHARTON,1,1,REAL ESTATE,"EATONTOWN, NJ","Philadelphia, PA",ai
WGSN,1,1,SALES,"LOS ANGELES, CA","New York, NY",ai
YRA,1,1,PHYSICIAN,"LAKE FOREST, IL",,
YOGASPARK,1,1,FITNESS,"MAMARONECK, NY",,
YKLI,1,1,TEACHER,"VALLEY STREAM, NY",,
YBH,1,1,EXECUTIVE DIRECTOR,"MONSEY, NY",,
YANOW,1,1,SALES,"BROCKTON, MA",,
A.L.P,1,1,MANUFACTURING,"HIGHLAND PARK, IL",,
ADFAM,1,1,EXECUTIVE,"NEWTON, MA",,
WSI,1,1,ATTORNEY (GENERAL COUNSEL),"COSTA MESA, CA",,
WELLMEDFL,1,1,PHYSICIAN,"OLDSMAR, FL","Coral Springs, FL",ai
JRCO,1,1,DATABASE ADMINISTRATOR,"SAN DIEGO, CA",,
JLEC,1,1,ELECTRICAL CONSULTANT,"PARK RIDGE, NJ",,
JJF,1,1,CEO,"SAN RAFAEL, CA",,
ALLSTATE,1,1,PRODUCT MANAGEMENT,"BERKELEY, CA","Northbrook, IL",ai
ALF,1,1,FINANCE,"SAN JUAN, PR",,
AGP,1,1,GP,"EMERALD HILLS, CA",,
AGL,1,1,CEO,"ATLANTA, GA","Atlanta, GA",ai
AGDS,1,1,MEDICAL DOCTOR,"BURIEN, WA",,
ADMIN,1,1,RETIRED,"SUNNY ISLES BEACH, FL",,
AMPLIFY,1,1,VENTURE CAPITAL,"LOS ALTOS HILLS, CA","San Francisco, CA",ai
AMEDISYS,1,1,RETIRED,"CARMEL, IN","Carmel, IN",ai
WJCS,1,1,DIRECTOR OF MARKETING,"SCARSDALE, NY","Valley Stream, NY",ai
WJC,1,1,COMMUNITY SERVICE,"NEW YORK, NY",,
WITHERS,1,1,LAWYER,"NEW YORK, NY","New York, NY",ai
WINSTEAD,1,1,RETIRED,"HOUSTON, TX","Austin, TX",
WILLIAMS,1,1,EXECUTIVE ASSISTANT,"WASHINGTON, DC","Tulsa, OK",ai
WOMANKIND,1,1,PHYSICIAN,"SUMMERLAND KEY, FL",,
WMALA,1,1,PHYSICIAN,"BEVERLY HILLS, CA",,
AQR,1,1,FINANCE,"STAMFORD, CT","Greenwich, CT",ai
