employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
PINNACLE COMMUNITIES,6,corrected,"5800 Granite Pkwy, Suite 300, Plano, TX",TX,"9100 S. Dadeland Blvd, Suite 700",FL,FL:6
PATRIOT SUBARU,6,corrected,"100 Patriot Place, Foxborough, MA",MA,769 Portland Rd,ME,FL:4; NH:2
PRECISION TASK GROUP,6,corrected,"1515 Pacific Ave Suite 700, Tacoma, WA",WA,"9801 Westheimer Road, Suite 803",TX,TX:5; IL:1
POLSINELLI,6,corrected,"600 3rd Avenue, 42nd Floor, New York, NY",NY,"900 W. 48th Place, Suite 900",MO,MO:5; MD:1
PHARMACY BENEFIT CONSULTANTS,6,corrected,"One Walgreens Way, Deerfield, IL",IL,7 Arborview Way,NJ,NJ:3; FL:3
NPS RENT ASSURANCE,6,corrected,"224 Lafayette St, New York, NY",NY,220 Reservoir St Ste 5,MA,MA:6
RIDA,6,corrected,"11601 Wilshire Blvd Suite 1250, Los Angeles, CA",CA,1777 Walker St Suite 501,TX,CO:6
RHP STAFFING CO,6,corrected,"2101 Cedar Springs Rd, Dallas, TX",TX,31200 Northwestern Hwy,MI,MI:6
SCI TECH AUTOMOTIVE,6,corrected,"2450 E. Gage Avenue, Pomona, CA",CA,12010 S US Highway 71,MO,KS:6
SHL INVESTMENT GROUP,6,corrected,"201 Tresser Boulevard, Suite 400, Stamford, CT",CT,"9 West 57th Street, 50th Floor",NY,NY:6
SOAVE ENTERPRISES,6,corrected,"3333 Michelson Drive, Suite 100, Irvine, CA",CA,3400 E Lafayette St,MI,MI:5; FL:1
TEMPLE HAR ZION,6,corrected,"1609 Edgewater Dr, Cherry Hill, NJ",NJ,1040 North Harlem Avenue,IL,IL:6
THE BERG CORPORATION,6,corrected,"2000 Market St Suite 1600, Philadelphia, PA",PA,2519 Wilkens Avenue,MD,DC:6
STEEL PEAK WEALTH MANAGEMENT,6,corrected,"140 Broadway, New York, NY",NY,"21650 Oxnard St, Suite 2300",CA,CA:6
TOBIN INJURY LAW,6,corrected,"Three Riverway, Ste 1775, Houston, TX",TX,38 Old Ivy Rd. NE,GA,GA:6
TILEBAR,6,corrected,"700 West State Street, West Springfield, MA",MA,15 Hoover Street,NY,NY:6
VILLAGE HEALTH PARTNERS,6,corrected,"400 W Washington St, Suite 700, Chicago, IL",IL,"5655 W Spring Creek Pkwy, Suite 200",TX,TX:6
WCHN,6,confirmed,24 Hospital Ave,CT,,,NY:6
ANTARES CAPITAL CORP,6,corrected,"1345 Avenue of the Americas, 31st Floor, New York, NY",NY,320 South Canal Street,IL,FL:6
WORKDAY,6,confirmed,6110 Stoneridge Mall Road,CA,,,IL:6
TRIUMPH INTERIORS,6,corrected,"One Parkwood Court, Cedar Rapids, IA",IA,"1255 Drummers Lane, Suite 200",PA,AZ:6
YS TECH USA,6,corrected,"1800 East Old Settlers Boulevard, Suite 200, Round Rock, TX",TX,"17771 Sampson Ln, Ste A",CA,CA:6
FABFITFUN INC,6,corrected,"2951 28th St SW, Suite 200, Grandville, MI",MI,360 N La Cienega Blvd,CA,CA:6
DARSANA CAPITAL PARTNERS LP,6,corrected,"299 South Main Street, Suite 220, Providence, RI",RI,"40 West 57th Street, 22nd Floor",NY,NY:6
"LAURAND ASSOCIATES, INC",6,corrected,"1410 Timberloch Pl, Suite 100, The Woodlands, TX",TX,"20900 NE 30th Avenue, Suite 102",FL,FL:6
"GREENE KARLIN REAL ESTATE, LLC",6,unknown,1000 Stewart Avenue,NY,,,GA:6
KIND LLC,6,confirmed,"120 Varick Street, 4th Floor",NY,,,TX:6
MARCADIS SINGER PA,6,corrected,"1225 S Clairemont Ave, Decatur, GA",GA,5104 SOUTH WESTSHORE BLVD,FL,FL:6
"KURSH, LLC",6,unknown,"900 Third Avenue, 16th Floor",NY,,,FL:6
SDI TECHNOLOGIES INC,6,corrected,"1160 Hull Street, Dunedin, FL",FL,1299 Main Street,NJ,NY:6
SCOTT FANE CPA PA,6,corrected,"1900 WYNKOOP STREET, SUITE 200, DENVER, CO",CO,"555 SE 6th Avenue, Unit 8E",FL,FL:6
"SMARTLOGIC, LLC",6,corrected,"1173 South California Avenue, Palo Alto, CA",CA,8 Market Pl Ste 377,MD,MD:6
OMNI NEW YORK LLC,6,confirmed,"7th Avenue at 51st Street (Omni New York Hotel is a property),",NY,,,FL:6
NBCUNIVERSAL,6,confirmed,30 Rockefeller Plaza,NY,,,CA:6
YURKO PARTNERS PC,6,corrected,"1001 SW 5th Ave, Suite 1900, Portland, OR",OR,"One Tech Drive, Suite 205",MA,MA:6
RANGER GLOBAL ADVISORS LLC,6,corrected,"675 Ponce de Leon Ave NE, Suite 500, Atlanta, GA",GA,9465 Wilshire Blvd,CA,CA:6
"ASSOCIATION MANAGEMENT GROUP, INC",6,corrected,"4408 Bayard Lane, Bethesda, MD",MD,614 W Friendly Ave,NC,NC:6
DETROIT PISTONS BASKETBALL CLUB,6,confirmed,One Agracel Place,MI,,,CA:6
"ATLANTIC REALTY CONSULTANTS, INC",6,corrected,"2600 Horizon Drive, Suite 210, King of Prussia, PA",PA,"8150 Leesburg Pike, Suite 1100",VA,VA:5; DC:1
SUN PHARMACEUTICAL/WILLVER,6,corrected,"270 Park Ave, New York, NY",NY,2 Independence Way,NJ,NJ:6
"BERENSON PARTNERS, LLC",6,corrected,"375 Park Avenue, 19th Floor, New York, NY",NY,12415 NE 13 Ave,FL,FL:6
"MALCO INDUSTRIES, INC",6,corrected,"300 South Service Road, Charlotte, NC",NC,"1717 Second Street, Ste A",FL,FL:6
YENKIN-MAJESTIC PAINT CORP,6,corrected,"2058 North Seventh Street, Philadelphia, PA",PA,1920 Leonard Avenue,OH,OH:6
"STORCH REALTY, INC",6,corrected,"41 Madison Ave, 6th Floor, New York, NY",NY,8930 Baltimore Street,MD,MD:6
ROIVANT SOCIAL VENTURES INC,6,corrected,"100 Cambridgepark Drive Suite 200, Cambridge, MA",MA,"1 Pennsylvania Plaza, 54th Floor",NY,CT:6
"SERLING & ABRAMSON, P.C",6,corrected,"2200 Corporate Blvd, Suite 200, Orlando, FL",FL,"280 N Old Woodward Ave, Suite 406",MI,MI:6
303 CAPITAL PARTNERS,5,corrected,"303 Colorado Street, Suite 2300, Austin, TX",TX,"401 W Superior St, Suite 101",IL,IL:5
ACASI,5,corrected,"3 Millennium Drive, Somerset, NJ",NJ,7085 NW 46th Street,FL,FL:5
ADVANCE PACKAGING TECHNOLOGIES,5,corrected,"4201 Winpark Dr, Midlothian, TX",TX,5720 Williams Lake Road,MI,MI:5
ACRISURE ARONSON INSURANCE,5,corrected,"2002 Summit Blvd, Suite 900, Atlanta, GA",GA,5664 Prairie Creek Dr SE,MI,MA:5
AEPI FOUNDATION,5,corrected,"3701 Woodland Avenue, Suite 300, Philadelphia, PA",PA,8815 Wesleyan Road,IN,FL:5
ARONOV,5,corrected,"2100 E. Route 83, Suite 600, Hoffman Estates, IL",IL,3500 Eastern Blvd,AL,AL:5
AVANT,5,corrected,"222 W Las Colinas Blvd, Suite 700, Irving, TX",TX,"222 W Merchandise Mart Plaza, Suite 900",IL,IL:5
ASPEN CAPITAL,5,corrected,"450 Lexington Avenue, 21st Floor, New York, NY",NY,"13190 SW 68th Parkway, Suite 130",OR,OR:5
ALIYA HEALTH GROUP,5,corrected,"23422 Mill Creek Dr, Laguna Hills, CA",CA,1590 S Congress Ave,FL,PA:5
ASSURED INVESTMENT MANAGEMENT,5,confirmed,3000 Marcus Ave Ste 3W2,NY,,,NJ:5
BARVIN GROUP,5,corrected,"260 Madison Ave, 11th Floor, New York, NY",NY,"8 Greenway Plaza, Suite 905",TX,TX:5
ASCENDA CAPITAL,5,corrected,"221 N LaSalle St, Suite 300, Chicago, IL",IL,"345 N Maple Dr, Suite 127",CA,CA:5
BETHESDA SOFTWORKS,5,confirmed,"1370 Piccard Drive, Suite 120",MD,,,VA:5
BLUMBERG CAPITAL,5,confirmed,580 California St,CA,,,NY:3; FL:2
BNA,5,corrected,"2415 17th St NW, Washington, DC",DC,1801 S Bell St,VA,NY:5
CANAM ENTERPRISES,5,corrected,"1 Canam Way, Berwick, PA",PA,"48 Wall Street, 24th Floor",NY,CT:4; NY:1
BRAVO,5,confirmed,"30 Hudson Yards, 38th Floor",NY,,,NJ:5
CAULIPOWER,5,confirmed,3851 Rickey Street,CA,,,NY:5
CORE HOME,5,corrected,"100 Matsonford Road, Radnor, PA",PA,42 W 39th St,NY,NY:5
DECRON PROPERTIES,5,unknown,"230 Park Avenue South, Suite 322",NY,,,CA:5
DELL,5,confirmed,One Dell Way,TX,,,IL:2; UT:2; FL:1
BRIDGE 360,5,corrected,"600 California Street, San Francisco, CA",CA,"10801 MoPac Expressway, Bldg. #1, Suite 320",TX,NY:5
CYBERHAVEN,5,corrected,"100 Cambridgepark Dr, Cambridge, MA",MA,345 California Avenue,CA,TX:5
DESERT ORTHOPAEDIC CENTER,5,corrected,"6175 E Southern Ave, Suite 135, Mesa, AZ",AZ,"2800 East Desert Inn Road, Suite 100",NV,NV:5
EASYHEALTH,5,corrected,"251 Little Falls Drive, Wilmington, DE",DE,1180 S. Beverly Dr. Ste 700,CA,CA:5
EMERALD//ARS,5,confirmed,3636 N Central Ave,AZ,,,FL:5
EPIPHANY DERMATOLOGY,5,corrected,"1701 Pennsylvania Ave NW, Suite 300, Washington, DC",DC,"6601 Vaught Ranch Rd, Ste 200",TX,GA:5
DRL,5,confirmed,"1211 Connecticut Ave NW, Suite 300",DC,,,CA:5
GENESISCARE,5,corrected,"1111 South Arroyo Parkway, Suite 300, Pasadena, CA",CA,"1419 SE 8th Terrace, Suite 200",FL,FL:5
GENESYS,5,confirmed,2001 Junipero Serra Blvd,CA,,,VA:5
F-FACTOR,5,corrected,"3301 Eucalyptus Avenue, Suite 200, Chandler, AZ",AZ,"115 E 57th Street, Suite 1007",NY,NY:5
GLOBAL INDUSTRIAL,5,corrected,"25 Northpointe Parkway, Saukville, WI",WI,11 Harbor Park Drive,NY,FL:5
GUIDEPOST STRATEGIES,5,corrected,"75 State Street, Suite 300, Boston, MA",MA,"1401 H Street NW, 5th Floor",DC,VA:5
IMBIBE,5,corrected,"45 W 27th St, 5th Floor, New York, NY",NY,7350 N Croname Rd,IL,IL:5
HELLER INDUSTRIES,5,corrected,"15058 County Highway 3, Strum, WI",WI,4 Vreeland Road,NJ,MI:4; NY:1
IRON FINANCIAL,5,corrected,"2600 First Ave S, Birmingham, AL",AL,"630 Dundee Road, Suite 300",IL,IL:5
GUARDIAN PHARMACY,5,corrected,"330 E 38th St, New York, NY",NY,"300 Galleria Parkway SE, Suite 800",GA,FL:5
KABR GROUP,5,corrected,"200 Clarendon St, Boston, MA",MA,"34 South Dean Street, Suite 200",NJ,NY:5
JBG SMITH,5,confirmed,"4445 Willard Avenue, Suite 700",MD,,,DC:5
INTERSTEEL CORPORATION,5,corrected,"2001 W Frontage Rd, Hastings, MN",MN,"1100 NW Loop 410, Ste 601",TX,TX:5
JOHN HENRY HOMES,5,corrected,"5115 San Felipe St, Suite 400, Houston, TX",TX,11025 Reed Hartman Highway,OH,OH:5
L3 HOSPITALITY GROUP,5,corrected,"10 East 40th Street, New York, NY",NY,100 W Kinzie St Ste 275,IL,IL:5
MARINER WEALTH ADVISORS,5,corrected,"150 N Radnor-Chester Rd, Suite F140, Radnor, PA",PA,"5700 W 112th St, Suite 200",KS,NY:5
LOMAX CARPET AND TILE MART,5,corrected,"3434 S Texas Ave, Bryan, TX",TX,230 North DuPont Highway,DE,PA:5
MEDICAL FACILITIES OF AMERICA,5,corrected,"16 West Main Street, Cleveland, TN",TN,2917 Penn Forest Blvd SW,VA,NJ:5
MONARCH CASINO AND RESORT,5,corrected,"100 Ranchero Dr, Black Hawk, CO",CO,3800 S Virginia St,NV,NV:5
MOZILLA,5,confirmed,331 E Evelyn Ave,CA,,,NY:5
MOISHE HOUSE,5,corrected,"110 E 25th St, 4th Floor, New York, NY",NY,"441 Saxony Road, Barn 2",CA,NC:3; FL:2
NORTHWESTERN MUTUAL,5,confirmed,720 East Wisconsin Avenue,WI,,,CA:2; MA:1; OH:1
MXGUIREWOODS,5,corrected,"501 Fayetteville Street, Suite 500, Raleigh, NC",NC,"Gateway Plaza, 800 East Canal Street",VA,IL:5
MPI,5,corrected,"30 Rockefeller Plaza, New York, NY",NY,"14131 Midway Road, Suite 800",TX,IL:5
MSL,5,corrected,"One E. Wacker Drive, Suite 3000, Chicago, IL",IL,375 Hudson Street,NY,FL:5
PALO ALTO NETWORKS,5,confirmed,"3000 Tannery Way, Santa Clara",CA,,,PA:5
NORWOOD PUBLIC SCHOOL,5,confirmed,20 Medford St,MA,,,NJ:5
PARAGON BIOSCIENCES,5,corrected,"1600 Technology Drive, Suite 100, San Jose, CA",CA,"330 N Wabash Avenue, Suite 3500",IL,FL:5
PASCHAL ROTH PUBLIC AFFAIRS,5,corrected,"1001 G St NW, Suite 1000, Washington, DC",DC,"2710 X Street, 2nd Floor",CA,CA:5
PLATINUM DERMATOLOGY,5,corrected,"2100 S Ocean Blvd, Suite 106, Boca Raton, FL",FL,"9900 N. Central Expressway, Suite 500",TX,CA:3; NC:2
PLATINUM EQUITY,5,confirmed,"360 N. Crescent Drive, Suite 200",CA,,,CT:5
RUTTENBERG IP LAW,5,corrected,"250 West 57th Street, 21st Floor, New York, NY",NY,"1801 Century Park East, Suite 1920",CA,CA:5
RELIABLE BACKGROUND SCREENING,5,corrected,"13647 Ingenuity Dr, Suite 200, Orlando, FL",FL,PO Box 12743,AZ,AZ:5
RAYTHEON TECHNOLOGIES,5,corrected,"870 Winter Street, Waltham, MA",MA,1000 Wilson Blvd,VA,CA:5
KRAMER BEVERAGE,5,corrected,"1401 Walnut St, Philadelphia, PA",PA,161 S 2nd Rd,NJ,FL:5
SIMONCRE,5,corrected,"225 West Washington Street, Indianapolis, IN",IN,6900 E 2nd Street,AZ,AZ:5
PRICE CONSTRUCTION,5,corrected,"800 W 6th St Suite 1000, Los Angeles, CA",CA,495 Route 304,NY,NY:5
SAFE HARBOR MARINAS,5,corrected,"2929 E Commercial Blvd, Suite 300, Fort Lauderdale, FL",FL,"14785 Preston Road, Suite 975",TX,TX:5
SAGE CHEMICAL,5,corrected,"2415 W 16th St, Tulsa, OK",OK,"2 University Plaza, Suite 204",NJ,NJ:5
SUCCESSFUEL,5,corrected,"150 E Olive Ave, Suite 200, Burbank, CA",CA,"660 American Ave, Suite 203",PA,PA:5
ST. GEORGE'S EPISCOPAL SCHOOL,5,corrected,"4101 Thomasville Road, Tallahassee, FL",FL,923 Napoleon Avenue,LA,LA:5
SOFTBANK CAPITAL NY,5,confirmed,"590 Madison Avenue, 34th Floor",NY,,,FL:5
THALES GROUP,5,corrected,"345 Park Avenue, New York, NY",NY,"2733 South Crystal Drive, Suite 1200",VA,CA:5
THE SHOPPING CENTER GROUP,5,corrected,"18 W 33rd St, 2nd Fl, New York, NY",NY,"300 Galleria Parkway, 12th Floor",GA,GA:5
SUNVERA GROUP,5,corrected,"1011 W North Avenue, Suite 200, Chicago, IL",IL,"30150 Telegraph Rd, Ste 271",MI,MI:5
THE RON KAUFMAN COMPANIES,5,corrected,"PO Box 914098, Longwood, FL",FL,1 Lombard St Ste 201,CA,CA:5
STATE STREET CAPITAL PARTNERS,5,corrected,"900 Third Avenue, 30th Floor, New York, NY",NY,"2 North Riverside Plaza, Suite 1400",IL,IL:5
TOWNSQUARE MEDIA,5,corrected,"25 Mall Road, Secaucus, NJ",NJ,"One Manhattanville Road, Suite 202",NY,FL:3; NY:2
TRANSOCEAN,5,corrected,"4 Greenwich Plaza, Greenwich, CT",CT,1414 Enclave Parkway,TX,TX:5
USAF RESERVE,5,confirmed,155 2nd Street West,GA,,,NY:5
UNION CAPITAL ASSOCIATES,5,corrected,"1 Bishop Allen Drive, Cambridge, MA",MA,"124 Mason St, Ste. 102",CT,CT:5
USAF,5,confirmed,1670 Air Force Pentagon,DC,,,NY:5
UHG,5,confirmed,UnitedHealth Group Center,MN,,,MD:5
WALLICK COMMUNITIES,5,confirmed,"3801 Richmond Road, Suite 200",OH,,,VA:3; NY:2
VANTAGE CAPITAL PARTNERS,5,corrected,"3200 Highland Ave S, Suite 500, Birmingham, AL",AL,269 South Beverly Drive #1018,CA,CA:4; NY:1
GRUND & LEAVITT,5,corrected,"800 Westchester Avenue, Suite N-120, Rye Brook, NY",NY,812 North Dearborn Street,IL,IL:5
ATLAS PUMP REPAIR CORP,5,corrected,"2650 S Queen St, Arlington, VA",VA,743 W Merrick Road,NY,NY:5
ARGENT MANAGEMENT LLC,5,corrected,"1 Marina Park Dr, Quincy, MA",MA,980 American Pacific Dr Suite 111,NV,NV:5
"HILL & MARKES, LLC",5,corrected,"3071 North Lima Street, Burbank, CA",CA,1997 State Highway 5S,NY,NY:5
LOEB & LOEB LLP,5,confirmed,"10100 Santa Monica Boulevard, 22nd Floor",CA,,,NY:3; NJ:2
"LANDMARK COMPANIES, LLC",5,corrected,"1000 Riverplace Blvd, Suite 100, Jacksonville, FL",FL,1200 Sunnyview Oval,NJ,NJ:5
QUALITY METALS INC,5,corrected,"535 N 10th St, Allentown, PA",PA,2575 Doswell Ave,MN,MN:5
QUINN EMANUEL URQUHART & SULLIVAN LLP,5,confirmed,"50 California Street, 22nd Floor",CA,,,IL:5
MARC ADAM & COMPANY,5,unknown,"116 E 27th St, 8th Floor",NY,,,CA:5
RUSHING MCCARL LLP,5,corrected,"1201 Elm St, Suite 4800, Dallas, TX",TX,2219 Main St. No. 144,CA,CA:5
PREMIER DENTAL PRODUCTS COMPANY,5,corrected,"1665 Route 10 West, Lakewood, NJ",NJ,1710 Romano Drive,PA,PA:5
INDIGO CAPITAL LLC,5,corrected,"1111 Lincoln Rd, Miami Beach, FL",FL,"950 Third Avenue, 28th Floor",NY,NY:5
"LANDAU LAW, PLLC",5,corrected,"360 Lexington Avenue, 16th Floor, New York, NY",NY,"3010 N. Military Trail, Suite 318",FL,FL:5
CONGREGATION ADAT ARI EL,5,corrected,"4566 Harriman Rd, Denville, NJ",NJ,12020 Burbank Blvd,CA,CA:5
VENABLE LLP,5,confirmed,600 Massachusetts Ave NW,DC,,,FL:3; MD:2
AKIN,5,corrected,"1700 Pacific Avenue, Dallas, TX",TX,"2001 K Street, N.W.",DC,NY:4; VA:1
THE GERGEL GROUP,5,corrected,"100 N. 18th St, Suite 2500, Philadelphia, PA",PA,"3300 NE 191st St, Suite 1017",FL,FL:5
S L NUSBAUM REALTY,5,corrected,"1130 Connecticut Ave NW Suite 300, Washington, DC",DC,440 Monticello Avenue Suite 1700,VA,VA:5
PROSKAUER ROSE LLP,5,corrected,"One International Place, 22nd Floor, Boston, MA",MA,"Eleven Times Square, 640 8th Avenue",NY,NY:5
"BLADYKAS ENGINEERING, P.C",5,corrected,"65 Parsonage Road, Dayton, NJ",NJ,"50 Jackson Avenue, Suite 300",NY,NY:5
JPMC,5,confirmed,383 Madison Avenue,NY,,,IL:5
INFORMA,5,confirmed,225 Liberty Street,NY,,,NJ:5
"SCHOCHOR, STATON, GOLDBERG AND CARDEA, P.A",5,corrected,"110 SE 6th St Suite 1700, Fort Lauderdale, FL",FL,1211 St Paul Street,MD,MD:5
"MEDICALLY HOME GROUP, INC",5,corrected,"10 S 5th St, Suite 200, Minneapolis, MN",MN,133 Brookline Ave,MA,PA:5
01 ADVISORS,4,confirmed,"1 Letterman Dr, Building C",CA,,,CO:4
ABECAP,4,corrected,"1201 Pacific Ave, Tacoma, WA",WA,319 West Simpson Street Suite 109,AZ,AZ:4
ALLENCOMM,4,corrected,"2840 N. Church Street, Suite 300, Burlington, NC",NC,55 West 900 South,UT,UT:4
ACRISURE,4,corrected,"2955 Campus Drive, Suite 100, Blue Bell, PA",PA,100 Ottawa Ave SW,MI,NY:3; FL:1
ALZHEIMER'S ASSOCIATION,4,confirmed,"225 N. Michigan Ave., Fl. 17",IL,,,FL:4
ALPA,4,corrected,"1625 Massachusetts Ave NW, Washington, DC",DC,"7950 Jones Branch Drive, Suite 400S",VA,MD:4
ANCHORAGE CAPITAL ADVISORS,4,confirmed,"601 Lexington Ave, 44th Floor",NY,,,NJ:4
AMERICAN JEWISH MEDICAL ASSOCIATION,4,corrected,"1425 K Street NW, Suite 600, Washington, DC",DC,2108 N St Ste N,CA,CT:4
ALIGN REAL ESTATE,4,corrected,"500 W 2nd St #2900, Austin, TX",TX,"123 Mission Street, 7th Floor",CA,CA:4
AOPA,4,confirmed,421 Aviation Way,MD,,,FL:4
ANDURIL INDUSTRIES,4,confirmed,1560 Sherman Ave,CA,,,DC:4
BANYAN RESIDENTIAL,4,corrected,"250 West 57th Street, Suite 1101, New York, NY",NY,"228 Main Street, Suite 10",CA,CA:4
APPLYCHECK,4,corrected,"5550 Painted Mirage Road, Suite 320, Las Vegas, NV",NV,"57 West Timonium Road, Suite 105A",MD,MD:4
BAYER,4,confirmed,100 Bayer Blvd,NJ,,,MO:4
BILTMORE FAMILY OFFICE,4,corrected,"1 EAST WASHINGTON ST, PHOENIX, AZ",AZ,500 East Boulevard,NC,NC:4
BOYNE CAPITAL,4,corrected,"125 West Front Street, Suite 100, Traverse City, MI",MI,"3350 Virginia Street, Suite 400",FL,FL:4
ART OF LIVING FOUNDATION,4,corrected,"2110 Palomar Airport Rd #400, Carlsbad, CA",CA,2401 15th St NW,DC,FL:4
BRISTOL ASSOCIATES,4,corrected,"100 S Charles St, Baltimore, MD",MD,20 Morris Ln,NY,NY:4
BRIGADE CAPITAL MANAGEMENT,4,confirmed,"437 Madison Ave, 19th Floor",NY,,,NJ:4
CENTENE,4,confirmed,7700 Forsyth Boulevard,MO,,,CA:4
CABALETTA BIO,4,corrected,"425 Summer Street, Suite 201, Boston, MA",MA,"2929 Arch Street, Suite 600",PA,PA:4
CICCIO AND DEMAREST,4,corrected,"104 Old Short Hills Road, West Orange, NJ",NJ,"1 Pondfield Road, Suite 304",NY,NY:4
CIENA,4,corrected,"250 Campus Drive, Middletown, NJ",NJ,7035 Ridge Road,MD,CA:4
CLARITY PARTNERS,4,corrected,"One Post Office Square, 30th Floor, Boston, MA",MA,"11601 Wilshire Blvd, Suite 1600",CA,CA:4
CONCORD COMPANIES,4,corrected,"2 Granite Place, Concord, NH",NH,"449 S Beverly Drive, 1st Floor",CA,CA:4
CLEARY GOTTLIEB,4,corrected,"2112 Pennsylvania Avenue NW, Suite 400, Washington, DC",DC,"One Liberty Plaza, 165 Broadway",NY,NJ:3; NY:1
CAMELOT BIOCAPITAL,4,unknown,"250 Park Avenue South, 7th Floor",NY,,,FL:4
COVETRUS,4,corrected,"100 Performance Drive, Portsmouth, NH",NH,12 Mountfort St,ME,AZ:4
CHRISTIES REAL ESTATE,4,unknown,20 Rockefeller Plaza,NY,,,NJ:4
DALET,4,corrected,"4109 McEwen Rd, Suite 101, Dallas, TX",TX,"88 Pine Street, 8th Floor",NY,FL:4
CREDIT SUISSE,4,confirmed,11 Madison Avenue,NY,,,CT:3; IL:1
CRUISER CAPITAL ADVISORS,4,corrected,"1200 Brickell Ave, Suite 1950, Miami, FL",FL,"243 Tresser Blvd, 17th Floor",CT,CT:4
DEPT OF VETERANS AFFAIRS,4,confirmed,810 Vermont Ave NW,DC,,,CA:2; PA:1; NY:1
DIXIE MILL SUPPLY COMPANY,4,corrected,"1401 19th St N, Birmingham, AL",AL,901 Tchoupitoulas St,LA,LA:4
EMBE,4,confirmed,300 W 11th St,SD,,,FL:4
DELPHI,4,confirmed,5725 Delphi Drive,MI,,,IN:4
EMINENCE CAPITAL,4,corrected,"47 S. 400 West, Suite 300, Salt Lake City, UT",UT,"399 Park Avenue, 25th Floor",NY,NY:4
DOUBLE RAINBOW,4,confirmed,3059 Masonic Avenue,CA,,,OH:4
ENCOMPASS CAPITAL,4,corrected,"1209 Orange Street, Wilmington, DE",DE,"200 Park Avenue, 11th Floor",NY,NY:4
FULCRUM PROPERTY,4,corrected,"1330 Avenue of the Americas, 28th Floor, New York, NY",NY,"1530 J Street, Suite 200",CA,CA:4
FREEDONIA GROUP,4,corrected,"2 CENTER PLAZA, SUITE 600, CLEVELAND, OH",OH,6116 Executive Blvd #550,MD,FL:4
FORBES,4,confirmed,499 Washington Boulevard,NJ,,,NY:3; MI:1
GEFFEN ENTERPRISES,4,corrected,"2000 Avenue of the Stars, Los Angeles, CA",CA,5 Breckenridge Lane,GA,GA:4
GENEBYGENE,4,corrected,"2440 N. University Drive, Suite 211, Coral Springs, FL",FL,"1445 North Loop West, Suite 820",TX,TX:4
GASTROHEALTH,4,corrected,"411 N Providence Rd, Media, PA",PA,"9500 S. Dadeland Blvd., Suite 200",FL,FL:3; MD:1
EQ OFFICE,4,corrected,"999 Third Avenue, Suite 3800, Seattle, WA",WA,"233 S Wacker Dr, Suite 4700",IL,NY:4
FURSQUARE,4,confirmed,"40 Worth Street, 10th Floor",NY,,,MA:4
GXO,4,corrected,"600 MacArthur Blvd, Building C, Mahwah, NJ",NJ,Two American Lane,CT,NY:4
HOSPITAL FOR SPECIAL SURGERY,4,confirmed,535 East 70th Street,NY,,,NJ:4
HARLAN CAPITAL PARTNERS,4,corrected,"600 Montgomery Street, Suite 2010, San Francisco, CA",CA,"440 Royal Palm Way, Suite 300",FL,FL:4
HMS PARTNERS,4,corrected,"One Post Office Square, Boston, MA",MA,7370 Andorra Place,FL,FL:4
GERCHEN CAPITAL PARTNERS,4,corrected,"One Liberty Square, 8th Floor, Boston, MA",MA,"150 N Riverside Plaza, Suite 4170",IL,IL:3; FL:1
INOAPPS,4,corrected,"95 Hayden Ave, Lexington, MA",MA,"5177 Richmond Avenue, Suite 200",TX,NY:4
IQVIA,4,confirmed,4820 Emperor Boulevard,NC,,,FL:3; NJ:1
HSF KRAMER,4,corrected,"600 Montgomery St, Suite 3000, San Francisco, CA",CA,1177 Avenue of the Americas,NY,NY:4
JINSA,4,confirmed,"Jewish Institute for National Security of America, 1101 14th Street NW, Suite 1400",DC,,,FL:4
KORNMEHL LASER EYE ASSOCIATES,4,corrected,"1001 6th Ave, New York, NY",NY,54 Washington Street,MA,MA:4
KORNHABER DENTAL GROUP,4,corrected,"3750 S Moore Rd, Grove City, OH",OH,30 S Bayles Ave,NY,NY:4
LIV GOLF,4,corrected,"555 West 5th Street, Suite 2800, Los Angeles, CA",CA,"50 Hudson Yards, Suite 65B",NY,NY:4
M B KAHN CONSTRUCTION COMPANY,4,corrected,"1340 Ridgeview Dr, Norton Shores, MI",MI,101 Flintlake Road,SC,SC:4
LOVELL SAFETY,4,confirmed,110 William St,NY,,,FL:4
MATRIX EQUITIES,4,corrected,"100 Crescent Ct, Suite 700, Dallas, TX",TX,"30000 Chagrin Road, Suite 200",OH,OH:4
NAM,4,confirmed,733 10th St NW,DC,,,IL:3; MI:1
JAVELIN,4,unknown,200 Park Avenue,NY,,,CA:4
OPEN INDUSTRIAL,4,corrected,"2200 Penn Ave Unit 21, Pittsburgh, PA",PA,"2 Bethesda Metro Center, Suite 500",MD,CA:4
MWE,4,confirmed,"444 W Lake St, Suite 4000",IL,,,FL:4
PEPOSE VISION INSTITUTE,4,corrected,"200 S. Brea Blvd., Suite 210, Brea, CA",CA,1815 Clarkson Road,MO,MO:4
MARQ MEDICAL,4,unknown,2801 NW 10th Terrace,FL,,,CA:4
OSAWATOMIE SH,4,confirmed,509 5th St,KS,,,MO:4
PANTERA,4,confirmed,"44 Montgomery St, Suite 1210",CA,,,NY:4
PEAPACK PRIVATE,4,confirmed,"1 Meadowlands Plaza, Suite 100",NJ,,,NY:4
PORTAGE POINT PARTNERS,4,corrected,"250 Monroe Avenue NW, Suite 1000, Grand Rapids, MI",MI,"300 N LaSalle Dr, Suite 1420",IL,NY:2; NJ:2
